                Aircraft Center             1
                Alert Tower                 1
                Alliance Center             1
                Barracks                    4
                Builder's Hut               1
                Chip Lab                    1
                Coin Vault                  1
                Component Factory           1
                Drill Ground                4
                Drone Parkts Workshop       1
                Emergency Center            1
                Farmland                    4
                Food Warehouse              1
                Gear Factory                1
                Gold Mine                   5
                Hospital                    4
                HQ                          1
                Iron Mine                   5
                Iron Warehouse              1
                Material Workshop           5
                Missile Center              1
                Oil Well                    5
                Recon Plane                 3
                Smelter                     5
                Tank Center                 1
                Tavern                      1
                Tech Center                 3
                Technical Institute         1
                Training Base               5
                Wall                        1
Season 1 Buildings
                Virus Research Institute    1
                Protein Farm                5
                Tank Base                   1
                Missile Vehicle Base        1
                Air Force Base              1
Season 2 Buildings
                Titanium Alloy Factory      5
                High-heat Furnace           1
                Tank Base                   1
                Missile Vehicle Base        1
                Air Force Base              1
Season 3 Buildings
                Blessing Fountain           5
                Curse Research Lab          1
                Altar                       1
                Protector Field             1
Season 4 Buildings
                Quartz Workshop             5
                Opto-Electronic Lab         1
                Light House                 1
                Protector Field             1
Season 5 Buildings
                Coffee Factory              5
                Caffiene Institute          1
                Tanker Bar                  1
                Missileer Bar               1
                Pilot Bar                   1
                Protector Field             1          

