key,value,updated_at,user_id,is_public
Air Center,30,2025-11-09 00:43:56.080605+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Air Center,0,2025-11-13 08:54:53.891754+00,2bb3c262-d107-439f-b059-f1d694f8915b,false
Aircraft Center,0,2025-11-12 21:33:18.132604+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Aircraft Center,26,2025-11-12 21:40:09.453461+00,2bb3c262-d107-439f-b059-f1d694f8915b,false
Aircraft Center,0,2025-11-12 19:06:12.108933+00,9cf16066-11f8-4b07-bc89-4f1013980063,false
Airfield,0,2025-11-06 23:54:18.177053+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Alert Tower,26,2025-11-09 00:32:26.81445+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Alert Tower,25,2025-11-12 21:40:09.453461+00,2bb3c262-d107-439f-b059-f1d694f8915b,false
Alert Tower,0,2025-11-12 19:06:12.108933+00,9cf16066-11f8-4b07-bc89-4f1013980063,false
Alliance Center,32,2025-11-09 00:38:36.494183+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Alliance Center,33,2025-11-12 21:40:09.453461+00,2bb3c262-d107-439f-b059-f1d694f8915b,false
Alliance Center,0,2025-11-12 19:06:12.108933+00,9cf16066-11f8-4b07-bc89-4f1013980063,false
Barracks,0,2025-11-06 23:54:17.714864+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Barracks 1,33,2025-11-07 13:36:38.06888+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Barracks 1,33,2025-11-12 21:40:09.453461+00,2bb3c262-d107-439f-b059-f1d694f8915b,false
Barracks 1,0,2025-11-12 19:06:12.108933+00,9cf16066-11f8-4b07-bc89-4f1013980063,false
Barracks 2,27,2025-11-09 00:29:51.568973+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Barracks 2,27,2025-11-12 21:40:09.453461+00,2bb3c262-d107-439f-b059-f1d694f8915b,false
Barracks 2,0,2025-11-12 19:06:12.108933+00,9cf16066-11f8-4b07-bc89-4f1013980063,false
Barracks 3,24,2025-11-09 00:29:51.568973+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Barracks 3,24,2025-11-12 21:40:09.453461+00,2bb3c262-d107-439f-b059-f1d694f8915b,false
Barracks 3,0,2025-11-12 19:06:12.108933+00,9cf16066-11f8-4b07-bc89-4f1013980063,false
Barracks 4,22,2025-11-09 00:29:51.568973+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Barracks 4,23,2025-11-12 21:40:09.453461+00,2bb3c262-d107-439f-b059-f1d694f8915b,false
Barracks 4,0,2025-11-12 19:06:12.108933+00,9cf16066-11f8-4b07-bc89-4f1013980063,false
Builder's Hut,28,2025-11-09 00:38:36.494183+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
Builder's Hut,25,2025-11-12 21:40:09.453461+00,2bb3c262-d107-439f-b059-f1d694f8915b,false
Builder's Hut,0,2025-11-12 19:06:12.108933+00,9cf16066-11f8-4b07-bc89-4f1013980063,false
buildings_aircraft_center,30,2025-11-06 23:31:03.149787+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
buildings_tank_center,33,2025-11-06 23:31:02.626446+00,1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,false
